update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,741.1903030516391,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9392400532960892,0.10918048955500126,0.017764301039278507,0.002129290616721846,0.126398288125406,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,857.2108036128068,24,0.079950001090765,0.16686826611042074,0.0,0.46000000834465027,233.0,35.54750342851098,150.0,250.0,1.9353061467409134,0.02038765326142311,0.0027642747154459357,0.0005674072708643507,0.02134467822646309,0.079950001090765,0.16686826611042074,0.0,0.46000000834465027
11,22528,783.9691053584925,26,0.047149999998509884,0.1362249525691505,0.0,0.5320000052452087,240.375,29.658209234544152,130.0,250.0,1.9228910058736801,0.02270030346699059,-0.003435935315792449,0.0010691029674489982,0.023185891335660066,0.047149999998509884,0.1362249525691505,0.0,0.5320000052452087
12,24576,859.5373744505523,29,0.07922500092536211,0.15854163534700766,0.0,0.5320000052452087,234.9375,34.16406875285788,130.0,250.0,1.9231045693159103,0.03262858255766332,0.003591904533095658,0.000521972709975671,0.016274375918574672,0.07922500092536211,0.15854163534700766,0.0,0.5320000052452087
13,26624,724.1623882871954,32,0.08687500096857548,0.16819549584115798,0.0,0.49239999055862427,232.8125,36.359693944669004,141.0,250.0,1.9263810217380524,0.0363633343949914,-0.0018478268539183773,0.0012664453824982047,0.02964873898767327,0.08687500096857548,0.16819549584115798,0.0,0.49239999055862427
14,28672,657.6963494665154,35,0.10032500047236681,0.1685825754140681,0.0,0.49239999055862427,230.8125,35.97606626286426,141.0,250.0,1.9302097409963608,0.04058633977547288,0.006021664885338396,0.00016479253099532798,0.009258561819452683,0.10032500047236681,0.1685825754140681,0.0,0.49239999055862427
15,30720,652.9818611052156,38,0.043549999594688416,0.12867290807389656,0.0,0.5103999972343445,241.375,27.818328041059548,136.0,250.0,1.927073821425438,0.04032319784164429,0.0047231754288077354,0.0008078459468379151,0.02750538424393898,0.043549999594688416,0.12867290807389656,0.0,0.5103999972343445
16,32768,775.4068495033973,40,0.16754999849945307,0.250204390219628,0.0,0.8416000008583069,213.875,58.268639721551764,44.0,250.0,1.9215563386678696,0.03673102706670761,-0.011439724883530289,0.0025165942060993984,0.03763238929861169,0.16754999849945307,0.250204390219628,0.0,0.8416000008583069
17,34816,703.4742303306821,43,0.1965249991044402,0.2851493188236977,0.0,0.8416000008583069,207.5625,68.97732303989478,44.0,250.0,1.915829837322235,0.034369260305538774,-0.0070744162949267775,0.0030098723800620064,0.03405304746926748,0.1965249991044402,0.2851493188236977,0.0,0.8416000008583069
18,36864,521.2097955179499,47,0.23909999802708626,0.3393974193278001,0.0,0.8452000021934509,194.0,82.23670105251061,43.0,250.0,1.9128776490688324,0.04926180490292609,-0.022110887221060693,0.006126472027972341,0.06981380569772763,0.23909999802708626,0.3393974193278001,0.0,0.8452000021934509
19,38912,769.3873741764402,50,0.2580749951303005,0.2724239371289529,0.0,0.7623999714851379,193.9375,64.6059872902659,66.0,250.0,1.890614241361618,0.06817509420216084,-0.00987342547159642,0.004257448395946994,0.0429888708374058,0.2580749951303005,0.2724239371289529,0.0,0.7623999714851379
20,40960,642.8862257845592,53,0.4360750028863549,0.29981458678769385,0.0,0.8884000182151794,151.4375,76.10270096225231,31.0,250.0,1.8984000831842422,0.07857520459219813,-0.026217327220365405,0.006825373391620815,0.07265336178333175,0.4360750028863549,0.29981458678769385,0.0,0.8884000182151794
21,43008,775.2853565532013,56,0.4798999996855855,0.27372345729912234,0.0,0.8884000182151794,141.0,70.2842443226076,31.0,250.0,1.8478893488645554,0.10845307819545269,-0.0234752397518605,0.007251259405165911,0.05315931595738685,0.4798999996855855,0.27372345729912234,0.0,0.8884000182151794
22,45056,786.9719144167482,58,0.4490315725928859,0.3536346517497494,0.0,0.9567999839782715,145.73684210526315,89.30600386799202,12.0,250.0,1.8024798482656479,0.15765616204589605,-0.03283726377412677,0.013389522326178849,0.09223001694091394,0.4490315725928859,0.3536346517497494,0.0,0.9567999839782715
23,47104,559.5752219768425,62,0.6738451661602143,0.24424852268171654,0.0,0.9567999839782715,88.80645161290323,63.07825112372967,12.0,250.0,1.7293415367603302,0.26361825317144394,-0.08006176073104143,0.021609107963740826,0.10452375079083892,0.6738451661602143,0.24424852268171654,0.0,0.9567999839782715
24,49152,637.0782192645614,65,0.7679285673158509,0.17353632734627406,0.18279999494552612,0.9603999853134155,64.46428571428571,48.204536051271845,11.0,227.0,1.7300496399402618,0.3156413435935974,-0.07142829708755016,0.017536531551741064,0.15022242221742257,0.7679285673158509,0.17353632734627406,0.18279999494552612,0.9603999853134155
